dataset,scenario,details,user,start,end
5.2,4,r5.2-4-NKM1738.csv,NKM1738,02/23/2011 18:57:09,05/04/2011 18:07:15
5.2,4,r5.2-4-NKN1405.csv,NKN1405,11/01/2010 17:32:06,12/30/2010 16:07:35
5.2,4,r5.2-4-NZL1395.csv,NZL1395,02/02/2011 08:18:04,04/21/2011 16:12:15
5.2,4,r5.2-4-OFS0030.csv,OFS0030,07/26/2010 07:22:51,10/04/2010 07:41:27
5.2,4,r5.2-4-OHS0036.csv,OHS0036,04/16/2010 12:32:57,07/09/2010 10:32:40
5.2,4,r5.2-4-RCG0584.csv,RCG0584,08/03/2010 11:43:07,10/29/2010 08:02:38
5.2,4,r5.2-4-WCW1013.csv,WCW1013,08/25/2010 08:32:20,11/08/2010 08:52:13
5.2,4,r5.2-4-WOS1834.csv,WOS1834,12/29/2010 14:11:19,03/14/2011 13:20:06
6.1,1,r6.1-1.csv,CSF2712,01/06/2011 04:51:28,01/12/2011 01:06:22
6.1,2,r6.1-2.csv,JPH1910,01/12/2011 11:12:06,02/04/2011 18:03:54
6.1,3,r6.1-3.csv,HJB0462,05/19/2011 10:10:59,05/19/2011 17:06:30
6.1,4,r6.1-4.csv,LJO1360,02/23/2011 16:10:23,04/15/2011 08:19:14
6.1,5,r6.1-5.csv,ADC1257,10/21/2010 08:59:20,10/21/2010 09:02:17
6.2,1,r6.2-1.csv,ACM2278,8/18/2010 21:47:42,08/24/2010 03:48:51
6.2,2,r6.2-2.csv,CMP2946,02/07/2011 12:28:06,03/04/2011 12:30:25
6.2,3,r6.2-3.csv,PLJ1771,8/12/2010 08:09:00,08/12/2010 16:11:39
6.2,4,r6.2-4.csv,CDE1846,/21/2011 11:43:39,04/25/2011 17:55:00
6.2,5,r6.2-5.csv,MBG3183,10/12/2010 13:21:59,10/12/2010 13:22:56
